id,company_id,customer_id,order_number,order_date,status,subtotal,gst_amount,total_amount,notes
19339822-1e3c-4c5c-94f4-55b08c78308e,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,8563b29f-5560-4de0-b903-4e689f1b39f8,SO-000001,2024-04-08,confirmed,180463.5,36092.7,216556.2,
70464f57-c985-45f2-b2ff-48ab35fdeb8c,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,07e15b8d-b19b-41ec-9b26-23c318bb551a,SO-000002,2024-04-08,confirmed,92623.65,18524.1,111147.75,
7cb7923d-7ac7-4da2-a81d-47bfb44c37d1,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,278981a6-959b-4d62-8c0b-aaf194ddc21b,SO-000003,2024-04-10,confirmed,48348.3,9669.45,58017.75,
3f181070-2ce6-4a42-a87b-e80d201e0a03,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,1b98ad8b-f374-4ebb-98d7-0d8591c6d650,SO-000004,2024-04-11,confirmed,180027.75,36004.5,216032.25,
06816387-289a-4672-aa8d-dfbe33a305e4,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,2c192621-6b4a-4cd7-adad-7cb2c14ab387,SO-000005,2024-04-15,confirmed,267333.15,53467.05,320800.2,
6f08dc11-d1c0-4742-810c-bdf731dcb8c2,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,278981a6-959b-4d62-8c0b-aaf194ddc21b,SO-000006,2024-04-17,confirmed,34170.15,6834.45,41004.6,
781450be-2f0b-44f5-aa9a-030e90b739a5,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,a4855d8c-ce57-4bf9-ba61-8187ffe47052,SO-000007,2024-04-17,confirmed,455314.65,91063.35,546378.0,
3ce96b5b-db7e-41b9-bb1b-47df5698b08b,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,38efe98d-9f6b-4383-a4a2-c631083604bd,SO-000008,2024-04-18,confirmed,408179.1,81637.5,489816.6,
d4c77fb6-baaf-4cef-a2d7-8330406b489e,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,33fc1609-b6e7-4303-9edc-bc6418c0210a,SO-000009,2024-04-18,confirmed,134643.6,26928.3,161571.9,
5b3e7b42-5060-422a-bfc6-fc1897876b39,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,bddc8f13-0158-4120-8ba5-9db1dc9867c0,SO-000010,2024-04-19,confirmed,238311.15,47663.7,285974.85,
d25c6aae-5edd-4c45-9e7b-b98f6291e17b,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,33fc1609-b6e7-4303-9edc-bc6418c0210a,SO-000011,2024-04-19,confirmed,6369.3,1273.65,7642.95,
24be21c3-a508-4f38-9075-77644870a3c9,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,fc45fc91-2842-4446-b248-392e89d83dd5,SO-000012,2024-04-19,confirmed,59909.85,11981.55,71891.4,
6d48b663-8d7d-4fd2-9a8e-ccc1d34d22ac,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,38d9661f-3fc1-404d-a0d5-a2b436722a57,SO-000013,2024-04-22,confirmed,163144.8,32628.75,195773.55,
