id,company_id,name,trading_name,abn,customer_type,status,payment_terms_days,credit_limit,created_date,churned_date,reliability,activity_level
a8b53655-259e-49ab-a571-d809956255c8,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Reliance Industries,Reliance Industries,,individual,active,30,,2024-04-06,,0.9641469972152129,0.16988864049658592
e4c18171-9905-438e-a433-8584d86ca296,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Tech Group,Tech Group,,individual,active,60,,2024-04-06,,0.783888524895239,0.5821102507987107
fdeb5f65-7ba3-4f77-bb80-ce9a23adb744,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Adani Industries,Adani Industries,19501045393,business,active,14,1257938.85,2024-04-06,,0.5191965078191949,0.44435817183791954
e5f8a306-7ec2-411b-befa-3e342ce6578a,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Wipro Solutions,Wipro Solutions,61663801289,business,active,14,107038.05,2024-04-06,,0.597975688945135,0.696880302786838
278981a6-959b-4d62-8c0b-aaf194ddc21b,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Wipro Industries,Wipro Industries,14736840351,business,active,30,353380.65,2024-04-06,,0.8833124694790413,0.6660360800122185
45e552d3-6c4d-40c2-8650-8996a5f98b92,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Birla Industries,Birla Industries,,individual,active,30,,2024-04-06,,0.7789983598176143,0.5119107945433924
5ad6cfd6-6951-469b-9ca9-517260dc9d3f,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Adani Group,Adani Group,44597300285,business,active,14,529101.3,2024-04-06,,0.5791282027120784,0.24315834652977406
56fbf97a-1873-40b5-84b5-b54aa9a16f85,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Mahindra Technologies,Mahindra Technologies,19965654063,business,active,30,500880.45,2024-04-06,,0.816198335428338,0.27271873244464173
528cab75-44bf-40b2-9997-346cc7fd97a4,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Tech Pvt Ltd,Tech Pvt Ltd,,individual,active,30,,2024-04-06,,0.5896190573871876,0.5067866365368732
ee0f5a7e-b99a-4056-ad6f-f716b351c742,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Tech Enterprises,Tech Enterprises,,individual,active,60,,2024-04-06,,0.6396891631276767,0.6239034259794066
c9192ef6-e59d-486f-a513-f56e7cff5f76,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Birla Technologies,Birla Technologies,,individual,active,60,,2024-04-06,,0.6873409650827635,0.5459895518666157
8b549367-b488-4c0d-8a35-17cb7d7bf887,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Mahindra Enterprises,Mahindra Enterprises,,individual,active,60,,2024-04-06,,0.6172768625906904,0.3289125628425736
38efe98d-9f6b-4383-a4a2-c631083604bd,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Wipro Technologies,Wipro Technologies,03647775997,business,active,60,438257.4,2024-04-06,,0.9335209170742594,0.3828441591062495
bddc8f13-0158-4120-8ba5-9db1dc9867c0,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Birla Pvt Ltd,Birla Pvt Ltd,54784279110,business,active,30,579856.2,2024-04-06,,0.9098176264740422,0.5739203349207921
15924d83-ee41-427a-8250-9db9d6bb72be,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Birla Solutions,Birla Solutions,34843753705,business,active,30,3752501.55,2024-04-06,,0.9108110646838705,0.7802371383658147
cc18895c-4b38-41e7-adc7-e2e7822c6adb,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Tech Industries,Tech Industries,43055450474,business,active,60,2730896.7,2024-04-06,,0.9599160690426704,0.2974492950900978
6980848a-9a73-44ca-be01-659513f91fbd,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Tech Industries,Tech Industries,38129938814,business,active,30,187022.85,2024-04-06,,0.818048158611749,0.14160651811088118
61eeab83-53fd-47a2-883a-b540d069a87a,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Wipro Group,Wipro Group,68379191626,business,active,60,2308984.65,2024-04-06,,0.8271003172132492,0.3096795384857634
2b2656b0-d3f3-4315-b037-b9f29a0d072a,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Infosys Group,Infosys Group,80250521002,business,active,60,611892.75,2024-04-06,,0.5202739438878656,0.48737558849153423
33fc1609-b6e7-4303-9edc-bc6418c0210a,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Wipro Solutions,Wipro Solutions,,individual,active,14,,2024-04-06,,0.8694840468598206,0.7559392479733219
cb24c0d0-6c64-4897-9e29-6796fa29561c,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Adani Enterprises,Adani Enterprises,,individual,active,14,,2024-04-06,,0.540401627906077,0.5747885805019418
e4b89ce3-a6b2-4640-b29c-9b7975624b62,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Birla Industries,Birla Industries,89355062005,business,active,30,2533377.0,2024-04-06,,0.8168990107103177,0.477786966403466
fc45fc91-2842-4446-b248-392e89d83dd5,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Birla Industries,Birla Industries,74120308533,business,active,30,1735309.8,2024-04-06,,0.8645449333325028,0.6601420097493542
08b47e0c-6ef5-49ea-a55d-f58a4e232173,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Birla Group,Birla Group,,individual,active,30,,2024-04-06,,0.6637115993584035,0.7050531897636023
38d9661f-3fc1-404d-a0d5-a2b436722a57,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Tata Group,Tata Group,,individual,active,14,,2024-04-06,,1.0,0.7007529657148001
7998dba3-61cf-4a20-9381-028033c49d24,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,TVS Enterprises,TVS Enterprises,73991823253,business,active,14,406799.4,2024-04-06,,0.5046735763555894,0.3643789794964221
2c192621-6b4a-4cd7-adad-7cb2c14ab387,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Infosys Technologies,Infosys Technologies,82233450976,business,active,60,756656.25,2024-04-06,,0.9061708230495741,0.4856496021780735
8bbdde61-64f8-41fa-9a8b-482fcddd168c,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Godrej Industries,Godrej Industries,96045845902,business,active,60,360530.1,2024-04-06,,0.6998855457057461,0.4575107808763326
7d88f4dc-57c4-4dd8-a7e1-ee37a5ae139c,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Reliance Pvt Ltd,Reliance Pvt Ltd,,individual,active,30,,2024-04-06,,0.7694098940845455,0.23995621065727565
d96b68b5-68e5-43de-8ecc-c53aa7261905,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Mahindra Pvt Ltd,Mahindra Pvt Ltd,35181522931,business,active,60,416640.0,2024-04-06,,0.6609969414893238,0.5858381039233135
43a324c2-dbe6-4372-bb04-02b431abc036,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Infosys Industries,Infosys Industries,69363857477,business,active,30,1399380.15,2024-04-06,,0.6612897047395048,0.5759947577464558
ddbe7a05-f791-4345-89a2-1140fc61daca,dd6f7306-36ed-4c9f-9996-6c5ab35d6628,Birla Group,Birla Group,85428459078,business,active,30,755792.1,2024-04-06,,0.7898292452113572,0.6521254928153458
